-----------------------------------------------------------------------
PARAMETROS UTILIZADOS: 
SELECAO TORNEIO: true
SELECAO ROLETA: false
CROSSOVER CLASSICO: true
CROSSOVER PMX: false
MUTACAO INSERTION: true
MUTACAO SWAP: false
TX. CROSSOVER: 0.2
TX. MUTACAO: 0.2
N. GERACOES 50
N. CROMOSSOMOS (TAM. POP.): 100
-----------------------------------------------------------------------

Custo ; Geracao 
999.6064428904145;0
991.6859999781877;0
994.2866704169212;0
965.5636756874901;0
946.1147985179429;0
1018.9492097738672;0
1024.7197297367504;0
1086.8206672731583;0
987.6880531694947;0
1044.7254314021948;0
1039.876315367752;0
1079.5338691642335;0
1004.644206464581;0
1037.0040889689396;0
1003.1189154205263;0
1038.3438778834625;0
1066.8064942792123;0
1116.7348493485579;0
1070.0104320112594;0
1055.3209408256562;0
1077.714296413683;0
991.9806484958142;0
1069.3585388958456;0
1098.4150721510819;0
1081.9464116202846;0
1026.399401796993;0
1088.6476364234254;0
1098.1417201586441;0
1065.5210628214807;0
1075.1462591292889;0
1134.631730164231;0
1092.2349772293642;0
1140.4197206754127;0
1104.2078808554877;0
1116.1577394920723;0
1070.128647466105;0
1157.779474584891;0
1083.5586235668304;0
1090.3252408357653;0
1135.6344272481765;0
1121.32224459947;0
1096.44057588237;0
1113.9393999444228;0
1152.8513476892158;0
1171.8794964482615;0
1094.411499276183;0
1157.1557962355232;0
1091.7203370664201;0
1134.7265117211614;0
1100.4459282387288;0
1077.2449683641814;0
1197.5553710527265;0
1084.9734931336204;0
1127.1561905644842;0
1074.6086446084196;0
1113.9748820699192;0
1119.9380990473007;0
1138.927748935534;0
1131.9193652842005;0
1120.4489850814712;0
1129.3179377148954;0
1110.6150104332698;0
1202.2997932488124;0
1136.6172301795748;0
1136.506373692117;0
1167.0904207029998;0
1101.5105999197933;0
1124.8714037419445;0
1183.9180607387157;0
1149.7847941286323;0
1135.6970561335559;0
1158.9346936935112;0
1136.1717594726313;0
1101.4780594136357;0
1158.3603409689438;0
1195.8664443959576;0
1204.6654499674569;0
1097.9552581689022;0
1186.912746661111;0
1124.1408632719813;0
1118.0375616418537;0
1172.594707344097;0
1201.3659217650447;0
1211.0955184105737;0
1131.6253727412025;0
1132.476976792785;0
1206.3831527309762;0
1155.8974445995984;0
1147.6021464602522;0
1182.8465560812172;0
1221.1094573676796;0
1272.9724998165236;0
1187.255554058535;0
1195.4301518462355;0
1225.4401558547281;0
1238.300655330831;0
1177.2322770076146;0
1264.7922186837045;0
1221.9458146387317;0
1240.9477722365982;0
915.0280878502766;1
954.8500437082254;1
1022.0332761616941;1
946.0819363782928;1
966.6579792418246;1
1036.485769456574;1
1030.8975931574862;1
1021.4790134792763;1
986.3104450347179;1
1109.8014314939514;1
1040.6497899228084;1
1065.110402189681;1
981.6615900657532;1
1030.062208367927;1
1071.6578888465867;1
1003.2806167378876;1
999.3105542470154;1
1067.582600291503;1
990.3537487600593;1
1014.0626434785542;1
1071.7993584445596;1
1034.512252774842;1
1094.0010094688123;1
1044.4267352038576;1
1049.420771777692;1
1054.851954115421;1
1070.4999851975808;1
1072.9000997635328;1
1116.4925234335292;1
1127.1143607291208;1
1061.0818953389435;1
1163.1917397894356;1
1168.0661469710603;1
1078.3955226448006;1
1084.3035283582033;1
1089.4007790833398;1
1050.1636318026585;1
1080.1268176298229;1
1108.0648302684463;1
1130.2375521057693;1
1122.0572115410835;1
1120.949606461134;1
1042.7566828794243;1
1139.744881740359;1
1069.2647874071647;1
1085.1569298202794;1
1083.4287192767965;1
1106.647205019878;1
1118.3906093592923;1
1109.0380304081082;1
1093.3460965689853;1
1125.2989365302255;1
1141.346620722304;1
1151.7573150336652;1
1136.8012116790928;1
1151.3646826361478;1
1119.9380990473007;1
1106.778133007378;1
1130.9230407858722;1
1101.3848409777245;1
1170.5251457555826;1
1150.516783866093;1
1155.4986379918332;1
1154.6967910294297;1
1140.6138626437735;1
1131.365263198244;1
1116.7380109900018;1
1105.1285825247219;1
1134.6799722890953;1
1189.3260402104602;1
1185.3227462908606;1
1203.8913763497492;1
1167.0700491715047;1
1155.5197575570992;1
1168.2666911421093;1
1206.836361169485;1
1124.4742141072713;1
1150.2831446780845;1
1142.1468530469824;1
1199.1733741207295;1
1165.7713543991586;1
1133.2672815444214;1
1143.3647978345966;1
1166.9109524391572;1
1223.0703850793163;1
1180.862987283746;1
1174.6232529219524;1
1239.3616846934895;1
1223.1768583302521;1
1251.5096269556234;1
1170.9965069221969;1
1218.6036489304875;1
1265.2591163540428;1
1211.4231310424236;1
1194.3977903281027;1
1265.1911184770613;1
1160.0977365831516;1
1197.460183494062;1
1264.7922186837045;1
1247.5423723001586;1
937.2122054444512;2
983.4122245108231;2
1001.7415773513875;2
1030.8975931574862;2
991.9355719309096;2
964.6396215213027;2
1001.2675325619555;2
1072.427765292927;2
1036.7293132751172;2
1062.9998568756787;2
1087.1169746202481;2
1053.5983825496774;2
1005.9960876205735;2
1006.363315081403;2
1066.1730237200898;2
1080.5898049530906;2
1101.4882500493661;2
1032.619659513502;2
1066.6751034155063;2
1062.1349580922506;2
1050.9908859366726;2
1068.8168402697552;2
1070.5439878135626;2
1069.634147821741;2
1019.7150573934829;2
1062.9604764887742;2
1146.6452307676414;2
1103.2421766607004;2
1139.3037668990753;2
1039.4048647275347;2
1110.8933256103103;2
1087.3687227595492;2
1166.989827155619;2
1118.3116949688826;2
1090.1749774448044;2
1115.961832089047;2
1078.0376527401288;2
1135.8042578932493;2
1109.040557340493;2
1129.0806743625647;2
1113.089166330782;2
1112.6907466138334;2
1074.6794408373128;2
1128.0703300297241;2
1125.0441793381958;2
1087.389576605251;2
1117.8683507041285;2
1145.915472813463;2
1142.2713161546972;2
1158.1885279609412;2
1087.2798334996935;2
1077.7801113806338;2
1133.309765243052;2
1053.7765779600504;2
1101.7971661699771;2
1106.0335819145598;2
1154.5367908193925;2
1175.2306005344808;2
1178.751612274686;2
1138.2156083997345;2
1145.1266353179685;2
1111.719029730762;2
1140.6138626437735;2
1154.0391426990432;2
1166.6726305008194;2
1174.5647427172514;2
1116.061661195974;2
1157.8227713334402;2
1109.82479026983;2
1115.2070419544712;2
1199.7294215233992;2
1169.244135526693;2
1136.2618914607317;2
1129.6999058685396;2
1150.1480064369148;2
1173.0109791084117;2
1117.4349726952155;2
1138.318133671872;2
1181.1178329951756;2
1138.7126159056315;2
1207.677928660226;2
1116.0551571269225;2
1122.4064075087674;2
1144.0924524445668;2
1193.8989347142408;2
1158.2809356602577;2
1203.1550621318122;2
1182.8476923800013;2
1150.936814793112;2
1228.1161044130868;2
1189.0709472181748;2
1183.7874966417762;2
1205.3028258854752;2
1275.293834610128;2
1207.3861301632332;2
1196.5338878698635;2
1221.2282797124653;2
1218.7262013018642;2
1279.3072819053477;2
1230.23976541401;2
936.9821905215647;3
970.3653567652049;3
950.0188933059692;3
1010.3510099575748;3
1036.35649764444;3
1009.5733394675937;3
1015.4524370888777;3
1002.8476420925465;3
1076.4919902272752;3
1146.7656667443541;3
1091.8767631477635;3
1060.5717820262494;3
1050.0611854290753;3
1083.050590593021;3
1077.050265165406;3
1079.6265006746887;3
1015.4250663873668;3
1099.025364179382;3
1028.9160598043738;3
1049.0153552577983;3
1088.1844773084797;3
1051.402803934421;3
1010.8896480468832;3
1100.2194216804173;3
1097.3461890386552;3
1151.7130608429638;3
1078.5759534023991;3
1109.4310687962818;3
1094.85286356161;3
1129.770012008031;3
1128.5747876450532;3
1060.9639637891275;3
1097.16917467232;3
1047.5883866688068;3
1070.3971014415895;3
1119.7199166154583;3
1066.0352344746439;3
1117.636545069354;3
1138.5895709658894;3
1101.4328422558112;3
1082.2821381447004;3
1094.9535903772662;3
1062.987917386432;3
1070.1974893116608;3
1113.8186805161054;3
1134.3915890238839;3
1129.3446700840677;3
1097.4352777896966;3
1120.0161465145532;3
1066.7674341955621;3
1050.1756850463141;3
1099.0411037180165;3
1169.7190755670904;3
1120.318759256421;3
1052.8781817371305;3
1101.2077360385513;3
1119.0792177373976;3
1080.5521829308711;3
1142.581115557265;3
1133.1476458540392;3
1152.73014232467;3
1133.6822624845809;3
1159.024690273423;3
1179.1142595414985;3
1164.3045135554462;3
1187.3085980799826;3
1135.552572455768;3
1170.9580344308556;3
1158.3014659855826;3
1105.4544435813646;3
1152.7789522230696;3
1133.7557883330387;3
1137.4044134463775;3
1164.677981293428;3
1198.2100391570618;3
1136.3956403595018;3
1177.5407768924763;3
1194.2944993605643;3
1146.923336177085;3
1225.1069253369492;3
1156.7526739176228;3
1165.3150597631202;3
1148.8943130330204;3
1185.1707369242974;3
1139.116266288428;3
1169.9737878035871;3
1152.2186481787514;3
1230.57497132362;3
1200.0306403989714;3
1250.0192938674531;3
1220.5280341231098;3
1205.5315335646965;3
1201.1604636819125;3
1204.301367182476;3
1236.2672240561392;3
1214.1962023082324;3
1213.1858158273053;3
1203.716609221723;3
1204.878168663025;3
1289.5791067527405;3
875.6808003683874;4
1011.3289700503008;4
981.4257148678523;4
1038.7961074335385;4
1059.5304639639849;4
974.8340802682177;4
974.3587651248104;4
1049.1559659887685;4
1012.6008402986336;4
985.8846775946649;4
1054.2446129997413;4
1077.960601312381;4
1024.8370451519222;4
1104.5636643264484;4
970.4632603454698;4
1017.607724756771;4
1118.786932655005;4
1078.5704249097382;4
985.7230998704;4
1088.3108963271186;4
1103.3250418249436;4
1123.5603938525596;4
1040.0508956715844;4
1033.1689519466167;4
1066.0613851155824;4
1074.1812028680558;4
1091.119078224195;4
1065.6958628630186;4
1050.8000297689578;4
1150.5914022796019;4
1122.2149773218844;4
1110.7258582554653;4
1118.0835459653854;4
1062.7946638620924;4
1113.2675704041844;4
1105.8390291033138;4
1159.619849034003;4
1065.2681959960946;4
1198.123285153361;4
1061.960480506094;4
1125.8412520550855;4
1095.0594464450692;4
1129.3446700840677;4
1143.4162634938048;4
1116.634076790412;4
1062.8120208504158;4
1086.6286616537514;4
1104.684869929837;4
1154.477115005648;4
1099.6340363958957;4
1101.0204728514398;4
1067.9018429741122;4
1127.524939264119;4
1129.2850985793762;4
1086.3871555221613;4
1099.0522657229803;4
1199.4916521214623;4
1182.2952509252452;4
1100.6585133717783;4
1130.5143789936092;4
1107.038742412201;4
1106.6605647172917;4
1097.1748416502944;4
1155.1944856584396;4
1145.8264228710564;4
1150.714819771917;4
1215.2750547152386;4
1079.283060114559;4
1075.4618327468006;4
1124.1802569766837;4
1188.9072200679645;4
1167.8875721502677;4
1229.3900958286376;4
1172.5238670130811;4
1171.9471183495402;4
1129.8044236269172;4
1157.9629704365425;4
1199.1305717714038;4
1236.6840517181479;4
1195.4511083263744;4
1179.478235899859;4
1172.1729556046437;4
1128.3950792116357;4
1134.902014737421;4
1209.3979327076252;4
1192.9942766654412;4
1145.84540442519;4
1188.3709302089271;4
1163.339514459506;4
1201.0264501736451;4
1194.6400826647339;4
1177.4469294306177;4
1198.0208328089686;4
1269.744668558498;4
1223.2024720055383;4
1205.1394267452986;4
1226.1694065163683;4
1226.699889315557;4
1256.588565484707;4
1232.1832442412203;4
952.4897571633545;5
1039.2183670999289;5
981.6339861571131;5
968.7574092905221;5
943.0767826625107;5
1032.5471550288808;5
1059.4769005616354;5
970.583278812552;5
1020.7778517074458;5
1025.00022070243;5
980.9273377654049;5
1018.4881479104523;5
969.2474861392335;5
993.503527024684;5
1039.0672595314302;5
1042.612840534596;5
1048.1971985906614;5
1026.9950710159908;5
1093.5975421777607;5
1039.661171164436;5
1107.014999184705;5
1017.7013439570684;5
1077.3851871062604;5
1060.6633200535014;5
1028.1289263294225;5
1034.3965927358101;5
1059.921042244124;5
1112.0784790107514;5
1066.9306639009467;5
1094.5488947338793;5
1122.684740859411;5
1116.9453043136941;5
1079.1566272338437;5
1133.0924392111474;5
1009.5174413301739;5
1056.9752006821518;5
1080.5263328187914;5
1072.1688188579599;5
1155.7651411972727;5
1064.968758214794;5
1085.758612333017;5
1113.6990627346602;5
1050.918886111439;5
1028.039145298445;5
1071.043519018337;5
1093.4881398296877;5
1061.8840733935895;5
1063.206347498855;5
1069.635472746497;5
1116.330819027307;5
1128.266893982183;5
1068.619753010128;5
1091.4741074017006;5
1107.3600674179293;5
1103.4742475941107;5
